latitude,longitude,SPI
5.875,67.375,NaN
5.875,67.625,NaN
5.875,67.875,NaN
5.875,68.125,NaN
5.875,68.375,NaN
5.875,68.625,NaN
5.875,68.875,NaN
5.875,69.125,NaN
5.875,69.375,NaN
5.875,69.625,NaN
5.875,69.875,NaN
5.875,70.125,NaN
5.875,70.375,NaN
5.875,70.625,NaN
5.875,70.875,NaN
5.875,71.125,NaN
5.875,71.375,NaN
5.875,71.625,NaN
5.875,71.875,NaN
5.875,72.125,NaN
5.875,72.375,NaN
5.875,72.625,NaN
5.875,72.875,NaN
5.875,73.125,NaN
5.875,73.375,NaN
5.875,73.625,NaN
5.875,73.875,NaN
5.875,74.125,NaN
5.875,74.375,NaN
5.875,74.625,NaN
5.875,74.875,NaN
5.875,75.125,NaN
5.875,75.375,NaN
5.875,75.625,NaN
5.875,75.875,NaN
5.875,76.125,NaN
5.875,76.375,NaN
5.875,76.625,NaN
5.875,76.875,NaN
5.875,77.125,NaN
5.875,77.375,NaN
5.875,77.625,NaN
5.875,77.875,NaN
5.875,78.125,NaN
5.875,78.375,NaN
5.875,78.625,NaN
5.875,78.875,NaN
5.875,79.125,NaN
5.875,79.375,NaN
5.875,79.625,NaN
5.875,79.875,NaN
5.875,80.125,6.35174799
5.875,80.375,6.206727982
5.875,80.625,6.168308735
5.875,80.875,6.396144867
5.875,81.125,6.535316944
5.875,81.375,6.655048847
5.875,81.625,NaN
5.875,81.875,NaN
5.875,82.125,NaN
5.875,82.375,NaN
5.875,82.625,NaN
5.875,82.875,NaN
5.875,83.125,NaN
5.875,83.375,NaN
5.875,83.625,NaN
5.875,83.875,NaN
5.875,84.125,NaN
5.875,84.375,NaN
5.875,84.625,NaN
5.875,84.875,NaN
5.875,85.125,NaN
5.875,85.375,NaN
5.875,85.625,NaN
5.875,85.875,NaN
5.875,86.125,NaN
5.875,86.375,NaN
5.875,86.625,NaN
5.875,86.875,NaN
5.875,87.125,NaN
5.875,87.375,NaN
5.875,87.625,NaN
5.875,87.875,NaN
5.875,88.125,NaN
5.875,88.375,NaN
5.875,88.625,NaN
5.875,88.875,NaN
5.875,89.125,NaN
5.875,89.375,NaN
5.875,89.625,NaN
5.875,89.875,NaN
5.875,90.125,NaN
5.875,90.375,NaN
5.875,90.625,NaN
5.875,90.875,NaN
5.875,91.125,NaN
5.875,91.375,NaN
5.875,91.625,NaN
5.875,91.875,NaN
5.875,92.125,NaN
5.875,92.375,NaN
5.875,92.625,NaN
5.875,92.875,NaN
5.875,93.125,NaN
5.875,93.375,NaN
5.875,93.625,NaN
5.875,93.875,NaN
5.875,94.125,NaN
5.875,94.375,NaN
5.875,94.625,NaN
5.875,94.875,5.231576443
5.875,95.125,5.066954136
5.875,95.375,5.033777237
5.875,95.625,NaN
5.875,95.875,NaN
5.875,96.125,NaN
5.875,96.375,NaN
5.875,96.625,NaN
5.875,96.875,NaN
5.875,97.125,NaN
5.875,97.375,NaN
5.875,97.625,NaN
5.875,97.875,NaN
